ccode,predicted_intensity,prob_0,prob_1,prob_2,actual_intensity,origin_year,target_year,horizon
2,1,0.21848381311967202,0.6032149657628748,0.1783012211174552,1,2010,2011,1
20,0,0.7391930445261515,0.20237593228811432,0.058431023185736966,0,2010,2011,1
40,0,0.717162451552014,0.1918997393463584,0.09093780910162913,0,2010,2011,1
41,0,0.712820901842921,0.20132253893936286,0.0858565592177162,0,2010,2011,1
42,0,0.644097733841007,0.2331037028929842,0.1227985632660114,0,2010,2011,1
51,0,0.836135099958486,0.11860270067511407,0.045262199366400725,0,2010,2011,1
52,0,0.7496022596814875,0.19891029612748629,0.051487444191027104,0,2010,2011,1
70,0,0.6374446720188169,0.22492811062734538,0.1376272173538407,0,2010,2011,1
90,0,0.6299795197897103,0.2445427814192891,0.1254776987910018,0,2010,2011,1
91,0,0.7411462719149848,0.17298252440398248,0.08587120368103257,0,2010,2011,1
92,0,0.7856822261843732,0.15582566944331655,0.05849210437230981,0,2010,2011,1
93,0,0.7856753971532242,0.15255009426216729,0.06177450858460837,0,2010,2011,1
94,0,0.8039905013469931,0.15572865174049594,0.040280846912512776,0,2010,2011,1
95,0,0.7761232750045852,0.15711092438612806,0.06676580060928827,0,2010,2011,1
100,1,0.11882465361874338,0.5413928494074057,0.33978249697385415,1,2010,2011,1
101,0,0.5999109511097312,0.24534850860980456,0.15474054028046735,0,2010,2011,1
110,0,0.7456888693057173,0.17188818922569066,0.08242294146859148,0,2010,2011,1
130,0,0.5999493919472336,0.2501086172480931,0.14994199080467588,0,2010,2011,1
135,1,0.16452989120331718,0.5586401239836897,0.27682998481299564,0,2010,2011,1
140,0,0.6620772688577153,0.2421429859710766,0.09577974517121086,0,2010,2011,1
145,0,0.6294269461547416,0.2344343473903,0.1361387064549604,0,2010,2011,1
150,0,0.7973140888196756,0.13926360792076942,0.0634223032595544,0,2010,2011,1
155,0,0.7350215029813413,0.20568526526556813,0.05929323175309256,0,2010,2011,1
160,0,0.834137581273777,0.12632513855826186,0.03953728016796191,0,2010,2011,1
165,0,0.8619118548736137,0.11566281347513453,0.022425331651252288,0,2010,2011,1
200,0,0.7456408365454128,0.20416706074581445,0.05019210270877501,0,2010,2011,1
205,0,0.8862641330308866,0.08620851398771123,0.02752735298140306,0,2010,2011,1
210,0,0.8325313933231335,0.12312053747533139,0.04434806920153771,0,2010,2011,1
211,0,0.7626779170807958,0.17085457748492697,0.06646750543427897,0,2010,2011,1
225,0,0.7831522366246004,0.163709630746831,0.053138132628571276,0,2010,2011,1
230,0,0.6941268863834492,0.24290417056498614,0.06296894305156661,0,2010,2011,1
235,0,0.871973598914156,0.09891277053854132,0.029113630547303485,0,2010,2011,1
255,0,0.85910555769277,0.11286753794916207,0.028026904358068955,0,2010,2011,1
290,0,0.8688509334308531,0.09996028758713309,0.031188778982014755,0,2010,2011,1
305,0,0.8159998430620395,0.13379912357431586,0.05020103336364753,0,2010,2011,1
310,0,0.8079344276823399,0.13422788122948107,0.05783769108818186,0,2010,2011,1
316,0,0.8018230290260776,0.1388664593536302,0.05931051162029473,0,2010,2011,1
317,0,0.8112686294773488,0.13662942822898472,0.05210194229366945,0,2010,2011,1
325,0,0.8439886089145713,0.11915814350045256,0.03685324758497734,0,2010,2011,1
339,0,0.8622905104216504,0.10704997568084566,0.030659513897503578,0,2010,2011,1
343,0,0.7907654208295267,0.15885216175993983,0.050382417410534355,0,2010,2011,1
344,0,0.7984207823121661,0.13957264599932007,0.062006571688516886,0,2010,2011,1
346,0,0.7022558077188501,0.20510597254113253,0.09263821974001919,0,2010,2011,1
349,0,0.8337204554551845,0.11453251965805582,0.051747024886761916,0,2010,2011,1
350,0,0.8366486649942331,0.12095642457136345,0.042394910434404603,0,2010,2011,1
352,0,0.8203951301307907,0.13572700228248366,0.043877867586727605,0,2010,2011,1
355,0,0.7988708909806854,0.14337705042367208,0.05775205859564545,0,2010,2011,1
359,0,0.8030053731203268,0.1419443289116956,0.05505029796797875,0,2010,2011,1
360,0,0.8022142026465674,0.14414668922262172,0.05363910813081367,0,2010,2011,1
365,1,0.14431354057692605,0.47231600680150265,0.3833704526215739,1,2010,2011,1
366,0,0.8087401283632031,0.13660976988485796,0.05465010175194108,0,2010,2011,1
367,0,0.7525825870297546,0.16519451716079506,0.08222289580945276,0,2010,2011,1
368,0,0.8111414959991398,0.13286520724815135,0.05599329675271097,0,2010,2011,1
369,0,0.6841643787989332,0.2021955858085667,0.11364003539250263,0,2010,2011,1
370,0,0.7386341963309484,0.17807351391164622,0.08329228975740804,0,2010,2011,1
371,0,0.7469996215364215,0.17510205717930133,0.0778983212842777,0,2010,2011,1
372,0,0.7129042271870176,0.19822712595532743,0.0888686468576556,0,2010,2011,1
373,0,0.7902474905336263,0.15863592871169133,0.05111658075468361,0,2010,2011,1
375,0,0.8729529483192651,0.09626707753964331,0.030779974141092632,0,2010,2011,1
380,0,0.8395055491026118,0.11755949636961668,0.0429349545277739,0,2010,2011,1
385,0,0.8681179305377614,0.10570675785576976,0.0261753116064697,0,2010,2011,1
390,0,0.8921786101428977,0.08082944332650072,0.026991946530602728,0,2010,2011,1
402,0,0.7966883735080782,0.14427018129476119,0.05904144519716047,0,2010,2011,1
404,0,0.6431711310303305,0.2482950143862041,0.10853385458346498,0,2010,2011,1
420,0,0.5829602758471542,0.2801259559967548,0.1369137681560905,0,2010,2011,1
432,1,0.2933289292626263,0.3816278679757707,0.3250432027616055,0,2010,2011,1
433,0,0.5386961369912711,0.31207312975752705,0.1492307332512027,1,2010,2011,1
434,0,0.6123803543441625,0.26125599825774093,0.1263636473980964,0,2010,2011,1
435,0,0.39323155422563133,0.3724128455862246,0.23435560018814494,0,2010,2011,1
436,0,0.5255930677286625,0.3010288208753418,0.173378111395996,0,2010,2011,1
437,0,0.5092316985904491,0.2929992888381609,0.1977690125713921,1,2010,2011,1
438,0,0.4855419585521616,0.2972074937009755,0.21725054774686497,0,2010,2011,1
439,0,0.48774742704772117,0.3146618177681081,0.197590755184172,0,2010,2011,1
450,0,0.6163333813868576,0.2595077433125255,0.12415887530061756,0,2010,2011,1
451,0,0.6001414073488447,0.2703403430444696,0.12951824960668568,0,2010,2011,1
452,0,0.59243086007468,0.24802753401668298,0.15954160590864008,0,2010,2011,1
461,0,0.6199884346146172,0.2561707058266618,0.12384085955872157,0,2010,2011,1
475,1,0.2942825407042302,0.3880370151413547,0.3176804441544189,1,2010,2011,1
481,0,0.7097815844613592,0.184982871784931,0.10523554375371144,0,2010,2011,1
482,1,0.17857087306571287,0.47777382904153365,0.3436552978927546,1,2010,2011,1
483,1,0.0997438823862593,0.46783392437846305,0.4324221932352795,0,2010,2011,1
484,0,0.6335900455420274,0.24311280437334706,0.1232971500846256,0,2010,2011,1
490,0,0.5232482056284842,0.29434448428159565,0.18240731008992292,1,2010,2011,1
500,1,0.09551204294568703,0.49962960085415353,0.40485835620016053,1,2010,2011,1
501,0,0.5209862346189533,0.3041770713640894,0.17483669401695928,0,2010,2011,1
510,0,0.528632314754078,0.30285580657365613,0.1685118786722683,0,2010,2011,1
516,0,0.5846805115309133,0.28553123748134235,0.12978825098774494,0,2010,2011,1
517,1,0.10228260815170916,0.4525304930224081,0.44518689882588464,1,2010,2011,1
520,2,0.17676017739934305,0.3310489533502111,0.4921908692504473,2,2010,2011,1
522,0,0.6855273470427588,0.2127364117857063,0.1017362411715356,0,2010,2011,1
530,2,0.0915618726645463,0.2639487783666703,0.6444893489687842,2,2010,2011,1
531,0,0.5119828797556685,0.3108874192491731,0.17712970099516073,0,2010,2011,1
540,1,0.2977751318247537,0.36706667684205835,0.33515819133319114,0,2010,2011,1
551,0,0.5647867909137259,0.27632221801663026,0.15889099106964516,0,2010,2011,1
552,0,0.5505354148747461,0.28399411596579377,0.16547046915946273,0,2010,2011,1
553,0,0.5574965972444186,0.28674662874689544,0.15575677400868682,0,2010,2011,1
560,0,0.6531079941271142,0.2451687588424402,0.1017232470304472,0,2010,2011,1
565,0,0.7379417757545726,0.17133068623026393,0.09072753801516338,0,2010,2011,1
